CommitmentID,CommitmentDate,FinancialYear,PurchaseRequisitionReference,PurchaseOrderReference,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,ActivityCode,VoteCode,FundSourceCode,SupplierCategory,CommitmentAmount,AmountInvoiced,AmountPaid,OutstandingCommitment,ExpectedDeliveryDate,CommitmentStatus,DaysOutstanding,ResponsibleRole,RiskRating
CMT-000306,2023-11-01,FY2023/2024,PR-349057,PO-500702,PRG-02,DIR-02,CC-002,RG-01,ACT-035,V-2210,FS-02,Security Services,1229000,634000,586000,643000,2024-02-20,Partially Paid,942,Procurement Officer,Critical
CMT-000307,2023-12-13,FY2023/2024,PR-464489,PO-559973,PRG-13,DIR-13,CC-018,RG-05,ACT-029,V-2240,FS-04,Travel and Accommodation,781000,781000,103000,678000,2024-05-06,Partially Paid,900,Procurement Officer,Critical
CMT-000308,2023-09-28,FY2023/2024,PR-227563,PO-165980,PRG-12,DIR-12,CC-024,RG-05,ACT-027,V-5110,FS-01,Printing and Stationery,1008000,399000,87000,921000,2023-10-30,Partially Paid,976,Cost Centre Manager,Critical
CMT-000309,2023-09-25,FY2023/2024,PR-569585,PO-205484,PRG-13,DIR-13,CC-018,RG-05,ACT-029,V-2430,FS-04,Utilities,673000,337000,275000,398000,2023-12-28,Partially Paid,979,Procurement Officer,Critical
CMT-000310,2023-10-10,FY2023/2024,PR-334600,PO-460302,PRG-11,DIR-11,CC-032,RG-01,ACT-026,V-2390,FS-03,Equipment,3493000,3066000,2276000,1217000,2024-03-14,Partially Paid,964,Cost Centre Manager,Critical
CMT-000311,2023-07-23,FY2023/2024,PR-634472,PO-937883,PRG-12,DIR-12,CC-023,RG-01,ACT-040,V-2110,FS-02,Equipment,1830000,0,0,1830000,2023-08-23,Overdue,1043,Project Manager,Critical
CMT-000312,2023-07-07,FY2023/2024,PR-331544,PO-852055,PRG-06,DIR-06,CC-006,RG-01,ACT-016,V-5130,FS-01,Training,3480000,1370000,1129000,2351000,2023-12-17,Partially Paid,1059,Cost Centre Manager,Critical
CMT-000313,2024-04-23,FY2023/2024,PR-167532,PO-495753,PRG-12,DIR-12,CC-027,RG-03,ACT-028,V-3130,FS-01,Security Services,2216000,2216000,255000,1961000,2024-06-20,Partially Paid,768,Cost Centre Manager,Critical
CMT-000314,2023-10-06,FY2023/2024,PR-744132,PO-555127,PRG-11,DIR-11,CC-029,RG-02,ACT-025,V-2211,FS-01,Consultancy,2208000,0,0,2208000,2023-12-16,Overdue,968,Cost Centre Manager,Critical
CMT-000315,2024-01-07,FY2023/2024,PR-566288,PO-584228,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-5130,FS-02,Utilities,3154000,0,0,3154000,2024-02-07,Overdue,875,Cost Centre Manager,Critical
CMT-000316,2023-07-03,FY2023/2024,PR-353473,PO-250319,PRG-13,DIR-13,CC-014,RG-01,ACT-029,V-2330,FS-02,Travel and Accommodation,2989000,2326000,2235000,754000,2023-12-03,Partially Paid,1063,Cost Centre Manager,Critical
CMT-000317,2023-09-06,FY2023/2024,PR-808452,PO-736784,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-2450,FS-01,Equipment,3170000,0,0,3170000,2023-11-28,Overdue,998,Cost Centre Manager,Critical
CMT-000318,2024-02-10,FY2023/2024,PR-918439,PO-987444,PRG-05,DIR-05,CC-005,RG-01,ACT-011,V-2520,FS-02,Maintenance,1235000,591000,211000,1024000,2024-04-30,Partially Paid,841,Project Manager,Critical
CMT-000319,2023-11-21,FY2023/2024,PR-943690,PO-941677,PRG-11,DIR-11,CC-031,RG-01,ACT-026,V-2520,FS-01,ICT Services,935000,935000,181000,754000,2024-03-14,Partially Paid,922,Cost Centre Manager,Critical
CMT-000320,2023-11-27,FY2023/2024,PR-293020,PO-827943,PRG-13,DIR-13,CC-017,RG-04,ACT-030,V-2510,FS-01,Printing and Stationery,1377000,840000,339000,1038000,2024-01-28,Partially Paid,916,Cost Centre Manager,Critical
CMT-000321,2023-07-09,FY2023/2024,PR-745662,PO-172154,PRG-12,DIR-12,CC-028,RG-02,ACT-027,V-2250,FS-01,ICT Services,3249000,3249000,1296000,1953000,2023-10-01,Partially Paid,1057,Procurement Officer,Critical
CMT-000322,2023-09-29,FY2023/2024,PR-575041,PO-669270,PRG-11,DIR-11,CC-011,RG-01,ACT-026,V-2520,FS-01,ICT Services,1284000,0,0,1284000,2023-12-07,Overdue,975,Cost Centre Manager,Critical
CMT-000323,2024-05-05,FY2023/2024,PR-809336,PO-649943,PRG-12,DIR-12,CC-025,RG-04,ACT-040,V-2410,FS-01,Consultancy,2228000,2228000,309000,1919000,2024-06-19,Partially Paid,756,Procurement Officer,Critical
CMT-000324,2024-04-30,FY2023/2024,PR-251252,PO-965373,PRG-06,DIR-06,CC-006,RG-01,ACT-014,V-2110,FS-02,Equipment,1754000,825000,58000,1696000,2024-09-15,Partially Paid,761,Procurement Officer,Critical
CMT-000325,2024-05-06,FY2023/2024,PR-860939,PO-927292,PRG-13,DIR-13,CC-021,RG-08,ACT-030,V-2430,FS-02,Training,3320000,3320000,835000,2485000,2024-10-21,Partially Paid,755,Cost Centre Manager,Critical
CMT-000326,2024-05-18,FY2023/2024,PR-520202,PO-691381,PRG-13,DIR-13,CC-016,RG-03,ACT-029,V-3130,FS-01,Consultancy,3167000,0,0,3167000,2024-07-07,Overdue,743,Cost Centre Manager,Critical
CMT-000327,2024-02-28,FY2023/2024,PR-714217,PO-828712,PRG-12,DIR-12,CC-028,RG-02,ACT-027,V-2380,FS-03,Travel and Accommodation,1990000,1472000,391000,1599000,2024-07-13,Partially Paid,823,Project Manager,Critical
CMT-000328,2024-04-03,FY2023/2024,PR-155377,PO-447030,PRG-12,DIR-12,CC-024,RG-05,ACT-040,V-2240,FS-01,Construction,2787000,2787000,523000,2264000,2024-09-17,Partially Paid,788,Procurement Officer,Critical
CMT-000329,2024-01-24,FY2023/2024,PR-943420,PO-715633,PRG-05,DIR-05,CC-005,RG-01,ACT-011,V-2120,FS-04,Fuel and Lubricants,1770000,1770000,84000,1686000,2024-03-16,Partially Paid,858,Procurement Officer,Critical
CMT-000330,2024-01-19,FY2023/2024,PR-468248,PO-483053,PRG-12,DIR-12,CC-026,RG-04,ACT-040,V-2240,FS-02,ICT Services,3102000,3102000,2511000,591000,2024-06-04,Partially Paid,863,Project Manager,Critical
CMT-000331,2024-04-10,FY2023/2024,PR-951493,PO-717123,PRG-06,DIR-06,CC-006,RG-01,ACT-016,V-5130,FS-01,Utilities,555000,429000,400000,155000,2024-05-11,Partially Paid,781,Project Manager,Critical
CMT-000332,2023-08-13,FY2023/2024,PR-577525,PO-571869,PRG-01,DIR-01,CC-001,RG-01,ACT-002,V-2520,FS-01,Professional Services,1772000,1434000,624000,1148000,2023-11-04,Partially Paid,1022,Procurement Officer,Critical
CMT-000333,2024-05-03,FY2023/2024,PR-549377,PO-777658,PRG-12,DIR-12,CC-027,RG-03,ACT-027,V-2250,FS-01,Utilities,2884000,2884000,1476000,1408000,2024-06-09,Partially Paid,758,Project Manager,Critical
CMT-000334,2024-02-24,FY2023/2024,PR-398046,PO-350619,PRG-11,DIR-11,CC-030,RG-07,ACT-026,V-2330,FS-01,Training,2949000,2949000,645000,2304000,2024-04-23,Partially Paid,827,Procurement Officer,Critical
CMT-000335,2023-09-09,FY2023/2024,PR-655735,PO-225994,PRG-10,DIR-10,CC-010,RG-01,ACT-024,V-2250,FS-01,Consultancy,3375000,1601000,1308000,2067000,2024-01-26,Partially Paid,995,Procurement Officer,Critical
CMT-000336,2023-10-13,FY2023/2024,PR-206591,PO-632167,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-2360,FS-03,Security Services,1875000,1253000,651000,1224000,2024-04-09,Partially Paid,961,Cost Centre Manager,Critical
CMT-000337,2023-10-16,FY2023/2024,PR-633048,PO-448421,PRG-02,DIR-02,CC-002,RG-01,ACT-004,V-4120,FS-01,Utilities,591000,591000,110000,481000,2023-12-02,Partially Paid,958,Cost Centre Manager,Critical
CMT-000338,2023-09-11,FY2023/2024,PR-317824,PO-643562,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-2120,FS-01,Security Services,3037000,3037000,2626000,411000,2023-12-14,Partially Paid,993,Cost Centre Manager,Critical
CMT-000339,2023-12-25,FY2023/2024,PR-884743,PO-433863,PRG-11,DIR-11,CC-031,RG-01,ACT-025,V-3130,FS-01,Training,1794000,0,0,1794000,2024-03-25,Overdue,888,Procurement Officer,Critical
CMT-000340,2024-03-07,FY2023/2024,PR-232822,PO-747781,PRG-13,DIR-13,CC-021,RG-08,ACT-030,V-2540,FS-02,Fuel and Lubricants,541000,404000,136000,405000,2024-04-17,Partially Paid,815,Procurement Officer,Critical
CMT-000341,2023-11-19,FY2023/2024,PR-753524,PO-189509,PRG-13,DIR-13,CC-018,RG-05,ACT-030,V-2530,FS-02,Professional Services,3264000,1279000,255000,3009000,2023-12-27,Partially Paid,924,Cost Centre Manager,Critical
CMT-000342,2024-04-05,FY2023/2024,PR-512011,PO-723133,PRG-13,DIR-13,CC-019,RG-06,ACT-029,V-5120,FS-02,Utilities,121000,121000,119000,2000,2024-08-02,Partially Paid,786,Project Manager,Critical
CMT-000343,2023-10-28,FY2023/2024,PR-525752,PO-100601,PRG-02,DIR-02,CC-002,RG-01,ACT-005,V-2340,FS-01,ICT Services,3126000,3126000,830000,2296000,2024-01-09,Partially Paid,946,Cost Centre Manager,Critical
CMT-000344,2023-11-23,FY2023/2024,PR-784939,PO-616448,PRG-12,DIR-12,CC-028,RG-02,ACT-040,V-3140,FS-02,Equipment,1806000,810000,237000,1569000,2023-12-27,Partially Paid,920,Project Manager,Critical
CMT-000345,2023-12-02,FY2023/2024,PR-641967,PO-158010,PRG-04,DIR-04,CC-004,RG-01,ACT-010,V-4110,FS-01,Construction,2938000,0,0,2938000,2024-04-10,Overdue,911,Project Manager,Critical
CMT-000346,2024-05-06,FY2023/2024,PR-595552,PO-341988,PRG-07,DIR-07,CC-007,RG-01,ACT-018,V-3130,FS-02,Professional Services,1184000,721000,688000,496000,2024-08-25,Partially Paid,755,Project Manager,Critical
CMT-000347,2023-09-27,FY2023/2024,PR-474595,PO-725873,PRG-12,DIR-12,CC-025,RG-04,ACT-027,V-2440,FS-01,Maintenance,2815000,2815000,2520000,295000,2024-01-30,Partially Paid,977,Procurement Officer,Critical
CMT-000348,2023-11-16,FY2023/2024,PR-847965,PO-346211,PRG-07,DIR-07,CC-007,RG-01,ACT-017,V-2390,FS-02,ICT Services,2714000,966000,150000,2564000,2024-04-08,Partially Paid,927,Cost Centre Manager,Critical
CMT-000349,2024-01-11,FY2023/2024,PR-390506,PO-460830,PRG-01,DIR-01,CC-001,RG-01,ACT-001,V-5110,FS-01,Training,3252000,2769000,307000,2945000,2024-02-26,Partially Paid,871,Cost Centre Manager,Critical
CMT-000350,2024-03-31,FY2023/2024,PR-653308,PO-447635,PRG-12,DIR-12,CC-012,RG-01,ACT-040,V-2250,FS-01,Maintenance,288000,211000,186000,102000,2024-05-02,Partially Paid,791,Cost Centre Manager,Critical
CMT-000351,2023-11-27,FY2023/2024,PR-900839,PO-432151,PRG-04,DIR-04,CC-004,RG-01,ACT-009,V-2420,FS-01,Travel and Accommodation,3482000,3482000,749000,2733000,2024-03-20,Partially Paid,916,Cost Centre Manager,Critical
CMT-000352,2024-04-08,FY2023/2024,PR-505904,PO-425680,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-2510,FS-04,Equipment,3153000,0,0,3153000,2024-08-25,Overdue,783,Cost Centre Manager,Critical
CMT-000353,2023-08-20,FY2023/2024,PR-721437,PO-231609,PRG-13,DIR-13,CC-020,RG-07,ACT-029,V-4120,FS-02,Utilities,2645000,2645000,1450000,1195000,2023-11-08,Partially Paid,1015,Project Manager,Critical
CMT-000354,2023-12-05,FY2023/2024,PR-536312,PO-554520,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-2340,FS-01,Fuel and Lubricants,855000,855000,184000,671000,2024-04-10,Partially Paid,908,Cost Centre Manager,Critical
CMT-000355,2023-12-12,FY2023/2024,PR-814251,PO-445691,PRG-13,DIR-13,CC-016,RG-03,ACT-030,V-2211,FS-02,Equipment,2913000,0,0,2913000,2024-03-04,Overdue,901,Cost Centre Manager,Critical
CMT-000356,2024-04-29,FY2023/2024,PR-248930,PO-599689,PRG-13,DIR-13,CC-017,RG-04,ACT-030,V-4130,FS-01,Training,446000,0,0,446000,2024-07-11,Overdue,762,Procurement Officer,Critical
CMT-000357,2024-03-19,FY2023/2024,PR-831960,PO-383548,PRG-11,DIR-11,CC-011,RG-01,ACT-026,V-2440,FS-01,Travel and Accommodation,3199000,0,0,3199000,2024-08-28,Overdue,803,Project Manager,Critical
CMT-000358,2023-07-19,FY2023/2024,PR-525227,PO-855845,PRG-03,DIR-03,CC-003,RG-01,ACT-006,V-2460,FS-01,Maintenance,1127000,0,0,1127000,2023-11-12,Overdue,1047,Procurement Officer,Critical
CMT-000359,2024-02-11,FY2023/2024,PR-612400,PO-868611,PRG-05,DIR-05,CC-005,RG-01,ACT-011,V-2520,FS-04,Security Services,1380000,0,0,1380000,2024-04-16,Overdue,840,Procurement Officer,Critical
CMT-000360,2023-12-15,FY2023/2024,PR-471290,PO-444065,PRG-11,DIR-11,CC-032,RG-01,ACT-026,V-4130,FS-02,Consultancy,2846000,873000,430000,2416000,2024-02-27,Partially Paid,898,Procurement Officer,Critical
CMT-000361,2024-01-29,FY2023/2024,PR-271752,PO-566494,PRG-12,DIR-12,CC-023,RG-01,ACT-027,V-2390,FS-01,Equipment,1602000,1602000,1309000,293000,2024-06-02,Partially Paid,853,Procurement Officer,Critical
CMT-000362,2024-02-25,FY2023/2024,PR-163991,PO-226192,PRG-13,DIR-13,CC-019,RG-06,ACT-029,V-4110,FS-01,Training,1078000,1078000,123000,955000,2024-05-02,Partially Paid,826,Procurement Officer,Critical
CMT-000363,2024-01-22,FY2023/2024,PR-948403,PO-643521,PRG-13,DIR-13,CC-015,RG-02,ACT-029,V-5130,FS-02,Printing and Stationery,3450000,1623000,137000,3313000,2024-06-09,Partially Paid,860,Procurement Officer,Critical
CMT-000364,2023-10-11,FY2023/2024,PR-418986,PO-859753,PRG-13,DIR-13,CC-015,RG-02,ACT-030,V-4130,FS-01,Training,2518000,0,0,2518000,2023-12-29,Overdue,963,Procurement Officer,Critical
CMT-000365,2023-10-25,FY2023/2024,PR-575367,PO-290574,PRG-13,DIR-13,CC-021,RG-08,ACT-029,V-5130,FS-01,Fuel and Lubricants,1818000,1464000,274000,1544000,2023-11-30,Partially Paid,949,Cost Centre Manager,Critical
CMT-000366,2023-11-18,FY2023/2024,PR-520871,PO-626844,PRG-13,DIR-13,CC-014,RG-01,ACT-029,V-2110,FS-02,Professional Services,3235000,0,0,3235000,2023-12-25,Overdue,925,Cost Centre Manager,Critical
CMT-000367,2023-07-13,FY2023/2024,PR-295923,PO-244220,PRG-07,DIR-07,CC-007,RG-01,ACT-017,V-2250,FS-04,Training,2945000,2945000,2878000,67000,2024-01-07,Partially Paid,1053,Procurement Officer,Critical
CMT-000368,2023-08-10,FY2023/2024,PR-366421,PO-354198,PRG-12,DIR-12,CC-027,RG-03,ACT-040,V-2440,FS-01,Utilities,142000,60000,18000,124000,2023-12-14,Partially Paid,1025,Procurement Officer,Critical
CMT-000369,2023-10-15,FY2023/2024,PR-703644,PO-597847,PRG-12,DIR-12,CC-012,RG-01,ACT-027,V-2360,FS-01,Consultancy,1986000,1047000,718000,1268000,2024-03-23,Partially Paid,959,Project Manager,Critical
CMT-000370,2024-03-24,FY2023/2024,PR-436042,PO-749689,PRG-12,DIR-12,CC-025,RG-04,ACT-040,V-2380,FS-02,Fuel and Lubricants,2978000,2978000,2251000,727000,2024-09-05,Partially Paid,798,Project Manager,Critical
CMT-000371,2024-01-18,FY2023/2024,PR-987015,PO-971586,PRG-11,DIR-11,CC-011,RG-01,ACT-026,V-5110,FS-01,Training,480000,480000,112000,368000,2024-02-25,Partially Paid,864,Project Manager,Critical
CMT-000372,2024-02-11,FY2023/2024,PR-510337,PO-503818,PRG-12,DIR-12,CC-026,RG-04,ACT-040,V-3130,FS-01,ICT Services,86000,69000,20000,66000,2024-05-13,Partially Paid,840,Project Manager,Critical
CMT-000373,2024-01-03,FY2023/2024,PR-884262,PO-443096,PRG-02,DIR-02,CC-002,RG-01,ACT-035,V-2210,FS-03,Printing and Stationery,689000,298000,109000,580000,2024-02-03,Partially Paid,879,Project Manager,Critical
CMT-000374,2024-02-28,FY2023/2024,PR-839100,PO-776799,PRG-12,DIR-12,CC-025,RG-04,ACT-028,V-2212,FS-01,ICT Services,509000,212000,32000,477000,2024-05-10,Partially Paid,823,Cost Centre Manager,Critical
CMT-000375,2023-07-05,FY2023/2024,PR-123468,PO-732694,PRG-12,DIR-12,CC-028,RG-02,ACT-027,V-2510,FS-02,Professional Services,2462000,2170000,147000,2315000,2023-12-25,Partially Paid,1061,Procurement Officer,Critical
CMT-000376,2023-10-11,FY2023/2024,PR-452795,PO-745103,PRG-02,DIR-02,CC-002,RG-01,ACT-003,V-2230,FS-01,Construction,1778000,1778000,1649000,129000,2023-12-12,Partially Paid,963,Project Manager,Critical
CMT-000377,2023-10-29,FY2023/2024,PR-484500,PO-721899,PRG-05,DIR-05,CC-005,RG-01,ACT-036,V-2430,FS-04,ICT Services,1077000,0,0,1077000,2024-03-17,Overdue,945,Cost Centre Manager,Critical
CMT-000378,2023-11-26,FY2023/2024,PR-191242,PO-347509,PRG-13,DIR-13,CC-013,RG-01,ACT-029,V-2330,FS-01,Construction,860000,466000,50000,810000,2024-01-10,Partially Paid,917,Cost Centre Manager,Critical
CMT-000379,2024-05-09,FY2023/2024,PR-851702,PO-630096,PRG-01,DIR-01,CC-001,RG-01,ACT-002,V-2450,FS-02,Security Services,1366000,1366000,1319000,47000,2024-09-30,Partially Paid,752,Cost Centre Manager,Critical
CMT-000380,2024-03-11,FY2023/2024,PR-229239,PO-165422,PRG-12,DIR-12,CC-012,RG-01,ACT-027,V-2360,FS-02,Training,2870000,2870000,1131000,1739000,2024-07-05,Partially Paid,811,Procurement Officer,Critical
CMT-000381,2024-02-15,FY2023/2024,PR-847497,PO-928387,PRG-04,DIR-04,CC-004,RG-01,ACT-037,V-2250,FS-01,Equipment,3479000,2152000,594000,2885000,2024-07-01,Partially Paid,836,Procurement Officer,Critical
CMT-000382,2024-04-10,FY2023/2024,PR-971365,PO-337567,PRG-12,DIR-12,CC-012,RG-01,ACT-040,V-2212,FS-04,Training,3189000,2685000,1572000,1617000,2024-07-17,Partially Paid,781,Procurement Officer,Critical
CMT-000383,2024-03-30,FY2023/2024,PR-968458,PO-380108,PRG-12,DIR-12,CC-022,RG-02,ACT-028,V-2210,FS-02,ICT Services,508000,508000,486000,22000,2024-08-22,Partially Paid,792,Cost Centre Manager,Critical
CMT-000384,2023-10-24,FY2023/2024,PR-296700,PO-640637,PRG-11,DIR-11,CC-031,RG-01,ACT-025,V-2211,FS-03,Consultancy,2281000,1135000,506000,1775000,2024-01-29,Partially Paid,950,Project Manager,Critical
CMT-000385,2023-11-10,FY2023/2024,PR-255023,PO-779380,PRG-11,DIR-11,CC-011,RG-01,ACT-025,V-2390,FS-01,Professional Services,1624000,1624000,1331000,293000,2024-02-26,Partially Paid,933,Cost Centre Manager,Critical
CMT-000386,2023-10-09,FY2023/2024,PR-907131,PO-621997,PRG-10,DIR-10,CC-010,RG-01,ACT-023,V-3120,FS-04,Utilities,2212000,0,0,0,2024-04-06,Cancelled,965,Project Manager,Critical
CMT-000387,2024-03-18,FY2023/2024,PR-458451,PO-200629,PRG-12,DIR-12,CC-026,RG-04,ACT-028,V-5120,FS-01,Printing and Stationery,2423000,0,0,2423000,2024-07-06,Overdue,804,Cost Centre Manager,Critical
CMT-000388,2023-08-28,FY2023/2024,PR-913885,PO-243906,PRG-13,DIR-13,CC-013,RG-01,ACT-030,V-2360,FS-03,Equipment,1650000,1148000,490000,1160000,2023-11-01,Partially Paid,1007,Procurement Officer,Critical
CMT-000389,2024-05-07,FY2023/2024,PR-763561,PO-568285,PRG-12,DIR-12,CC-023,RG-01,ACT-027,V-2540,FS-04,Equipment,1132000,1132000,551000,581000,2024-06-29,Partially Paid,754,Cost Centre Manager,Critical
CMT-000390,2024-04-01,FY2023/2024,PR-485109,PO-189074,PRG-07,DIR-07,CC-007,RG-01,ACT-017,V-3120,FS-01,Fuel and Lubricants,592000,592000,411000,181000,2024-05-16,Partially Paid,790,Cost Centre Manager,Critical
CMT-000391,2023-10-22,FY2023/2024,PR-977184,PO-645166,PRG-01,DIR-01,CC-001,RG-01,ACT-001,V-2460,FS-02,ICT Services,2559000,1524000,1053000,1506000,2024-04-18,Partially Paid,952,Cost Centre Manager,Critical
CMT-000392,2023-12-08,FY2023/2024,PR-640125,PO-296442,PRG-03,DIR-03,CC-003,RG-01,ACT-006,V-3130,FS-01,Utilities,3120000,2670000,747000,2373000,2024-02-02,Partially Paid,905,Procurement Officer,Critical
CMT-000393,2024-02-26,FY2023/2024,PR-597772,PO-212125,PRG-12,DIR-12,CC-024,RG-05,ACT-028,V-5120,FS-02,ICT Services,1662000,609000,297000,1365000,2024-07-28,Partially Paid,825,Procurement Officer,Critical
CMT-000394,2024-01-26,FY2023/2024,PR-459870,PO-835440,PRG-12,DIR-12,CC-023,RG-01,ACT-040,V-4130,FS-01,Training,3021000,3021000,2366000,655000,2024-07-11,Partially Paid,856,Cost Centre Manager,Critical
CMT-000395,2023-07-19,FY2023/2024,PR-887905,PO-518057,PRG-07,DIR-07,CC-007,RG-01,ACT-017,V-2380,FS-01,Security Services,1486000,1008000,484000,1002000,2023-12-12,Partially Paid,1047,Procurement Officer,Critical
CMT-000396,2023-07-17,FY2023/2024,PR-715000,PO-494740,PRG-12,DIR-12,CC-025,RG-04,ACT-027,V-2250,FS-01,Utilities,606000,502000,43000,563000,2023-08-24,Partially Paid,1049,Project Manager,Critical
CMT-000397,2023-10-26,FY2023/2024,PR-535403,PO-185954,PRG-13,DIR-13,CC-013,RG-01,ACT-029,V-4130,FS-04,Fuel and Lubricants,2856000,0,0,2856000,2024-01-29,Overdue,948,Procurement Officer,Critical
CMT-000398,2023-07-12,FY2023/2024,PR-327489,PO-444115,PRG-10,DIR-10,CC-010,RG-01,ACT-023,V-5120,FS-01,Consultancy,483000,271000,205000,278000,2023-12-24,Partially Paid,1054,Project Manager,Critical
CMT-000399,2023-09-25,FY2023/2024,PR-583241,PO-471469,PRG-12,DIR-12,CC-023,RG-01,ACT-027,V-2212,FS-02,Professional Services,1229000,423000,40000,1189000,2023-12-31,Partially Paid,979,Cost Centre Manager,Critical
CMT-000400,2024-03-03,FY2023/2024,PR-883775,PO-247471,PRG-11,DIR-11,CC-029,RG-02,ACT-026,V-2510,FS-01,Equipment,988000,0,0,988000,2024-07-02,Overdue,819,Procurement Officer,Critical
CMT-000401,2024-10-20,FY2024/2025,PR-620292,PO-327307,PRG-12,DIR-12,CC-025,RG-04,ACT-040,V-2340,FS-02,Professional Services,1478000,0,0,1478000,2024-12-03,Overdue,588,Project Manager,Critical
CMT-000402,2024-08-04,FY2024/2025,PR-901042,PO-319362,PRG-13,DIR-13,CC-018,RG-05,ACT-030,V-2410,FS-01,ICT Services,3459000,3459000,2957000,502000,2025-01-15,Partially Paid,665,Project Manager,Critical
CMT-000403,2024-07-27,FY2024/2025,PR-410085,PO-898811,PRG-11,DIR-11,CC-011,RG-01,ACT-025,V-2212,FS-01,Equipment,245000,0,0,245000,2024-10-22,Overdue,673,Procurement Officer,Critical
CMT-000404,2025-02-12,FY2024/2025,PR-621646,PO-153156,PRG-12,DIR-12,CC-024,RG-05,ACT-028,V-2390,FS-03,Equipment,2848000,2159000,1241000,0,2025-06-09,Cancelled,473,Cost Centre Manager,Critical
CMT-000405,2025-01-31,FY2024/2025,PR-821291,PO-330845,PRG-05,DIR-05,CC-005,RG-01,ACT-011,V-2250,FS-03,Security Services,2639000,2027000,1641000,998000,2025-04-20,Partially Paid,485,Project Manager,Critical
CMT-000406,2024-08-02,FY2024/2025,PR-826402,PO-244396,PRG-04,DIR-04,CC-004,RG-01,ACT-009,V-2410,FS-02,Maintenance,1887000,1887000,1756000,131000,2024-12-02,Partially Paid,667,Project Manager,Critical
CMT-000407,2024-12-04,FY2024/2025,PR-673258,PO-236633,PRG-04,DIR-04,CC-004,RG-01,ACT-009,V-2240,FS-03,Utilities,3144000,3144000,2167000,977000,2025-05-26,Partially Paid,543,Procurement Officer,Critical
CMT-000408,2024-09-01,FY2024/2025,PR-565825,PO-479149,PRG-10,DIR-10,CC-010,RG-01,ACT-023,V-5110,FS-01,Equipment,344000,141000,31000,313000,2025-02-22,Partially Paid,637,Procurement Officer,Critical
CMT-000409,2025-05-18,FY2024/2025,PR-894233,PO-241106,PRG-05,DIR-05,CC-005,RG-01,ACT-013,V-2340,FS-01,Printing and Stationery,1948000,1285000,812000,1136000,2025-09-28,Partially Paid,378,Cost Centre Manager,Critical
CMT-000410,2025-03-20,FY2024/2025,PR-106594,PO-376392,PRG-12,DIR-12,CC-023,RG-01,ACT-028,V-4120,FS-01,Security Services,2325000,2325000,621000,1704000,2025-08-09,Partially Paid,437,Procurement Officer,Critical
CMT-000411,2024-09-12,FY2024/2025,PR-658082,PO-877277,PRG-13,DIR-13,CC-013,RG-01,ACT-029,V-2210,FS-01,Utilities,162000,0,0,162000,2025-01-12,Overdue,626,Project Manager,Critical
CMT-000412,2025-04-16,FY2024/2025,PR-151955,PO-763769,PRG-12,DIR-12,CC-027,RG-03,ACT-028,V-2390,FS-01,Professional Services,1975000,1643000,761000,1214000,2025-09-21,Partially Paid,410,Cost Centre Manager,Critical
CMT-000413,2025-05-07,FY2024/2025,PR-141758,PO-927945,PRG-02,DIR-02,CC-002,RG-01,ACT-004,V-2212,FS-01,Training,3161000,0,0,3161000,2025-07-20,Overdue,389,Cost Centre Manager,Critical
CMT-000414,2025-03-22,FY2024/2025,PR-612223,PO-752891,PRG-11,DIR-11,CC-030,RG-07,ACT-025,V-2430,FS-03,Consultancy,2574000,0,0,2574000,2025-05-08,Overdue,435,Project Manager,Critical
CMT-000415,2025-05-17,FY2024/2025,PR-846569,PO-970408,PRG-12,DIR-12,CC-028,RG-02,ACT-028,V-2530,FS-01,Maintenance,2085000,0,0,2085000,2025-06-21,Overdue,379,Project Manager,Critical
CMT-000416,2025-03-07,FY2024/2025,PR-459899,PO-366947,PRG-13,DIR-13,CC-015,RG-02,ACT-029,V-5120,FS-01,Maintenance,654000,654000,561000,0,2025-06-02,Cancelled,450,Project Manager,Critical
CMT-000417,2025-02-19,FY2024/2025,PR-791120,PO-389943,PRG-01,DIR-01,CC-001,RG-01,ACT-001,V-2220,FS-01,Fuel and Lubricants,594000,594000,441000,153000,2025-07-21,Partially Paid,466,Procurement Officer,Critical
CMT-000418,2024-10-09,FY2024/2025,PR-971377,PO-251062,PRG-13,DIR-13,CC-021,RG-08,ACT-030,V-2510,FS-01,Construction,2186000,1095000,30000,2156000,2024-12-21,Partially Paid,599,Cost Centre Manager,Critical
CMT-000419,2024-11-05,FY2024/2025,PR-704801,PO-662303,PRG-13,DIR-13,CC-021,RG-08,ACT-030,V-3120,FS-02,Security Services,1698000,0,0,1698000,2025-02-15,Overdue,572,Procurement Officer,Critical
CMT-000420,2024-09-20,FY2024/2025,PR-834976,PO-732733,PRG-12,DIR-12,CC-027,RG-03,ACT-040,V-2540,FS-01,Security Services,2588000,2088000,178000,2410000,2025-02-04,Partially Paid,618,Cost Centre Manager,Critical
