ExceptionID,DetectionDate,FinancialYear,DirectorateCode,CostCentreCode,RegionCode,TransactionReference,ExceptionType,ExceptionDescription,AmountAtRisk,RiskRating,ResponsibleRole,CorrectiveAction,TargetResolutionDate,ResolutionDate,Status,DaysOutstanding,RepeatFindingFlag
EXC-000103,2024-08-03,FY2024/2025,DIR-11,CC-032,RG-01,TXN-375665,Expenditure Above Budget,Expenditure Above Budget identified in Technical Service Unit 04,839000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-09-25,2024-10-08,Resolved,331,No
EXC-000104,2024-07-17,FY2024/2025,DIR-11,CC-030,RG-07,TXN-553306,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 02,1075000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-10-12,,Escalated,348,No
EXC-000105,2025-01-27,FY2024/2025,DIR-13,CC-019,RG-06,TXN-475150,Missing Supporting Documents,Missing Supporting Documents identified in Regional Office - Nyanza Region,854000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-04-15,,In Progress,154,Yes
EXC-000106,2024-08-28,FY2024/2025,DIR-13,CC-019,RG-06,TXN-808980,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Nyanza Region,548000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-11-18,2024-11-15,Resolved,306,No
EXC-000107,2024-08-07,FY2024/2025,DIR-12,CC-024,RG-05,TXN-793896,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Infrastructure Project Unit 03,1419000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-10-26,2024-11-21,Resolved,327,No
EXC-000108,2025-02-28,FY2024/2025,DIR-12,CC-012,RG-01,TXN-201058,Unreconciled Transaction,Unreconciled Transaction identified in Projects and Infrastructure Directorate - HQ,1256000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-03-22,,In Progress,122,No
EXC-000109,2025-01-25,FY2024/2025,DIR-07,CC-007,RG-01,TXN-545728,Unreconciled Transaction,Unreconciled Transaction identified in Legal and Corporation Secretary Directorate - HQ,99000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-03-12,,Open,156,No
EXC-000110,2024-07-24,FY2024/2025,DIR-13,CC-015,RG-02,TXN-614073,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Central Region,1045000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-09-22,,In Progress,341,No
EXC-000111,2024-11-12,FY2024/2025,DIR-12,CC-028,RG-02,TXN-642772,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 07,1162000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-01-22,,Open,230,Yes
EXC-000112,2025-03-03,FY2024/2025,DIR-12,CC-027,RG-03,TXN-575934,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 06,1032000,Low,Procurement Officer,Obtain missing documents and repost transaction,2025-04-01,,In Progress,119,No
EXC-000113,2024-08-29,FY2024/2025,DIR-13,CC-016,RG-03,TXN-501868,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Coast Region,206000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-09-19,2024-10-04,Resolved,305,No
EXC-000114,2024-07-23,FY2024/2025,DIR-13,CC-015,RG-02,TXN-233071,Delayed Banking,Delayed Banking identified in Regional Office - Central Region,514000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-09-27,2024-10-04,Resolved,342,Yes
EXC-000115,2024-07-10,FY2024/2025,DIR-06,CC-006,RG-01,TXN-401151,Procurement Non-Compliance,Procurement Non-Compliance identified in Information and Communication Technology Directorate - HQ,609000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2024-09-13,,Open,355,No
EXC-000116,2024-12-17,FY2024/2025,DIR-12,CC-028,RG-02,TXN-320653,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 07,892000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2025-02-08,,Open,195,Yes
EXC-000117,2024-12-24,FY2024/2025,DIR-11,CC-031,RG-01,TXN-887094,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 03,318000,High,Chief Accountant,Obtain missing documents and repost transaction,2025-01-10,,Open,188,No
EXC-000118,2025-04-26,FY2024/2025,DIR-05,CC-005,RG-01,TXN-881602,Unreconciled Transaction,Unreconciled Transaction identified in Procurement and Supply Chain Directorate - HQ,1369000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2025-06-21,2025-07-17,Resolved,65,No
EXC-000119,2024-10-02,FY2024/2025,DIR-13,CC-020,RG-07,TXN-865762,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Regional Office - Rift Valley Region,915000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-10-31,,Open,271,No
EXC-000120,2024-07-20,FY2024/2025,DIR-03,CC-003,RG-01,TXN-703547,Approval-Control Gap,"Approval-Control Gap identified in Strategy, Planning and Performance Directorate - HQ",84000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-10-13,,In Progress,345,No
EXC-000121,2024-11-28,FY2024/2025,DIR-12,CC-022,RG-02,TXN-553670,Incorrect Vote Code,Incorrect Vote Code identified in Infrastructure Project Unit 01,94000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-12-22,,Deferred,214,No
EXC-000122,2025-02-24,FY2024/2025,DIR-12,CC-025,RG-04,TXN-452319,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 04,307000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-05-09,,Open,126,No
EXC-000123,2025-01-27,FY2024/2025,DIR-13,CC-014,RG-01,TXN-247336,Procurement Non-Compliance,Procurement Non-Compliance identified in Regional Office - Nairobi Region,84000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-03-18,2025-04-16,Resolved,154,No
EXC-000124,2025-02-22,FY2024/2025,DIR-10,CC-010,RG-01,TXN-343294,Duplicate Payment Risk,"Duplicate Payment Risk identified in Research, Monitoring and Evaluation Directorate - HQ",407000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-03-11,,Open,128,Yes
EXC-000125,2024-08-16,FY2024/2025,DIR-06,CC-006,RG-01,TXN-742895,Unsupported Reallocation,Unsupported Reallocation identified in Information and Communication Technology Directorate - HQ,1231000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-09-14,,Open,318,No
EXC-000126,2025-05-04,FY2024/2025,DIR-01,CC-001,RG-01,TXN-186910,Approval-Control Gap,Approval-Control Gap identified in Office of the Chief Executive Officer - HQ,818000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2025-06-23,,In Progress,57,No
EXC-000127,2025-02-19,FY2024/2025,DIR-04,CC-004,RG-01,TXN-477240,Expenditure Above Budget,Expenditure Above Budget identified in Human Resource and Administration Directorate - HQ,572000,Low,Procurement Officer,Obtain missing documents and repost transaction,2025-04-16,,Deferred,131,No
EXC-000128,2025-02-09,FY2024/2025,DIR-01,CC-001,RG-01,TXN-566410,Incorrect Vote Code,Incorrect Vote Code identified in Office of the Chief Executive Officer - HQ,1093000,High,Chief Accountant,Obtain missing documents and repost transaction,2025-04-19,,Deferred,141,No
EXC-000129,2024-08-23,FY2024/2025,DIR-13,CC-017,RG-04,TXN-847801,Missing Supporting Documents,Missing Supporting Documents identified in Regional Office - Eastern Region,988000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-10-30,,In Progress,311,No
EXC-000130,2024-08-18,FY2024/2025,DIR-13,CC-021,RG-08,TXN-592747,Missing Supporting Documents,Missing Supporting Documents identified in Regional Office - Western Region,1116000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-11-07,,Escalated,316,No
EXC-000131,2024-07-31,FY2024/2025,DIR-12,CC-024,RG-05,TXN-941024,Expenditure Above Budget,Expenditure Above Budget identified in Infrastructure Project Unit 03,559000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-10-17,,Open,334,No
EXC-000132,2024-07-06,FY2024/2025,DIR-13,CC-013,RG-01,TXN-705547,Incorrect Vote Code,Incorrect Vote Code identified in Regional Operations Directorate - HQ,1465000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-08-29,,In Progress,359,No
EXC-000133,2025-01-15,FY2024/2025,DIR-13,CC-017,RG-04,TXN-571767,Delayed Banking,Delayed Banking identified in Regional Office - Eastern Region,860000,High,Chief Accountant,Obtain missing documents and repost transaction,2025-03-29,2025-04-17,Resolved,166,No
EXC-000134,2024-10-08,FY2024/2025,DIR-02,CC-002,RG-01,TXN-591749,Approval-Control Gap,Approval-Control Gap identified in Finance and Accounts Directorate - HQ,1454000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2024-11-01,,Deferred,265,No
EXC-000135,2025-05-08,FY2024/2025,DIR-12,CC-023,RG-01,TXN-930382,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 02,651000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2025-07-30,,In Progress,53,No
EXC-000136,2024-10-24,FY2024/2025,DIR-12,CC-023,RG-01,TXN-479347,Unsupported Reallocation,Unsupported Reallocation identified in Infrastructure Project Unit 02,133000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-12-31,2025-01-29,Resolved,249,No
EXC-000137,2024-09-24,FY2024/2025,DIR-12,CC-025,RG-04,TXN-704631,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 04,1308000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-11-10,,Open,279,Yes
EXC-000138,2024-11-12,FY2024/2025,DIR-13,CC-014,RG-01,TXN-105247,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Regional Office - Nairobi Region,847000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2025-01-03,,In Progress,230,No
EXC-000139,2025-04-04,FY2024/2025,DIR-12,CC-012,RG-01,TXN-494807,Procurement Non-Compliance,Procurement Non-Compliance identified in Projects and Infrastructure Directorate - HQ,1181000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2025-06-22,,In Progress,87,No
EXC-000140,2025-02-18,FY2024/2025,DIR-13,CC-021,RG-08,TXN-794743,Unreconciled Transaction,Unreconciled Transaction identified in Regional Office - Western Region,770000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-04-12,,Escalated,132,No
EXC-000141,2024-11-26,FY2024/2025,DIR-11,CC-032,RG-01,TXN-179412,Incorrect Vote Code,Incorrect Vote Code identified in Technical Service Unit 04,1498000,Low,Chief Accountant,Obtain missing documents and repost transaction,2025-01-24,,Open,216,No
EXC-000142,2025-02-02,FY2024/2025,DIR-13,CC-019,RG-06,TXN-832211,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Nyanza Region,721000,Low,Chief Accountant,Obtain missing documents and repost transaction,2025-04-03,,In Progress,148,No
EXC-000143,2025-05-20,FY2024/2025,DIR-09,CC-009,RG-01,TXN-836604,Delayed Banking,Delayed Banking identified in Corporate Communications and Customer Experience Directorate - HQ,859000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-07-10,,In Progress,41,No
EXC-000144,2024-10-24,FY2024/2025,DIR-02,CC-002,RG-01,TXN-527472,Unsupported Reallocation,Unsupported Reallocation identified in Finance and Accounts Directorate - HQ,629000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2024-11-21,,Open,249,No
EXC-000145,2025-03-14,FY2024/2025,DIR-04,CC-004,RG-01,TXN-972236,Unsupported Reallocation,Unsupported Reallocation identified in Human Resource and Administration Directorate - HQ,857000,Low,Procurement Officer,Obtain missing documents and repost transaction,2025-03-28,2025-03-30,Resolved,108,Yes
EXC-000146,2024-12-23,FY2024/2025,DIR-08,CC-008,RG-01,TXN-242831,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Internal Audit and Risk Directorate - HQ,1056000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-03-07,,Open,189,No
EXC-000147,2024-12-15,FY2024/2025,DIR-01,CC-001,RG-01,TXN-653036,Unreconciled Transaction,Unreconciled Transaction identified in Office of the Chief Executive Officer - HQ,1026000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-02-10,2025-02-04,Resolved,197,No
EXC-000148,2025-05-09,FY2024/2025,DIR-09,CC-009,RG-01,TXN-149563,Unreconciled Transaction,Unreconciled Transaction identified in Corporate Communications and Customer Experience Directorate - HQ,771000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-06-18,,Deferred,52,No
EXC-000149,2025-03-20,FY2024/2025,DIR-12,CC-027,RG-03,TXN-637141,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 06,1235000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-04-04,,Escalated,102,No
EXC-000150,2024-08-09,FY2024/2025,DIR-04,CC-004,RG-01,TXN-440149,Approval-Control Gap,Approval-Control Gap identified in Human Resource and Administration Directorate - HQ,1411000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2024-09-15,2024-10-08,Resolved,325,Yes
EXC-000151,2024-12-05,FY2024/2025,DIR-11,CC-011,RG-01,TXN-990707,Delayed Banking,Delayed Banking identified in Technical Operations Directorate - HQ,1491000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2025-02-14,,Open,207,No
EXC-000152,2024-10-16,FY2024/2025,DIR-11,CC-029,RG-02,TXN-378550,Expenditure Above Budget,Expenditure Above Budget identified in Technical Service Unit 01,263000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2025-01-14,,Open,257,No
EXC-000153,2024-08-15,FY2024/2025,DIR-10,CC-010,RG-01,TXN-573341,Duplicate Payment Risk,"Duplicate Payment Risk identified in Research, Monitoring and Evaluation Directorate - HQ",1488000,Low,Chief Accountant,Obtain missing documents and repost transaction,2024-10-23,,Open,319,No
EXC-000154,2025-03-02,FY2024/2025,DIR-07,CC-007,RG-01,TXN-262742,Procurement Non-Compliance,Procurement Non-Compliance identified in Legal and Corporation Secretary Directorate - HQ,972000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-04-15,,Open,120,No
EXC-000155,2024-12-05,FY2024/2025,DIR-13,CC-014,RG-01,TXN-235223,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Nairobi Region,323000,Low,Chief Accountant,Obtain missing documents and repost transaction,2025-01-28,2025-02-04,Resolved,207,No
EXC-000156,2025-03-17,FY2024/2025,DIR-12,CC-028,RG-02,TXN-165959,Unsupported Reallocation,Unsupported Reallocation identified in Infrastructure Project Unit 07,590000,Low,Procurement Officer,Obtain missing documents and repost transaction,2025-05-17,,Open,105,Yes
EXC-000157,2024-08-21,FY2024/2025,DIR-12,CC-026,RG-04,TXN-901829,Expenditure Above Budget,Expenditure Above Budget identified in Infrastructure Project Unit 05,959000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2024-10-11,,Escalated,313,No
EXC-000158,2024-09-16,FY2024/2025,DIR-03,CC-003,RG-01,TXN-601851,Approval-Control Gap,"Approval-Control Gap identified in Strategy, Planning and Performance Directorate - HQ",700000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2024-11-20,,Open,287,No
EXC-000159,2024-10-07,FY2024/2025,DIR-12,CC-012,RG-01,TXN-721742,Unreconciled Transaction,Unreconciled Transaction identified in Projects and Infrastructure Directorate - HQ,658000,Low,Chief Accountant,Obtain missing documents and repost transaction,2024-11-21,2024-11-15,Resolved,266,No
EXC-000160,2025-03-16,FY2024/2025,DIR-13,CC-016,RG-03,TXN-259689,Unreconciled Transaction,Unreconciled Transaction identified in Regional Office - Coast Region,338000,High,Chief Accountant,Obtain missing documents and repost transaction,2025-03-31,,Open,106,No
EXC-000161,2024-10-23,FY2024/2025,DIR-13,CC-018,RG-05,TXN-517427,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - North Eastern Region,1216000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2024-11-07,,In Progress,250,No
EXC-000162,2025-01-09,FY2024/2025,DIR-12,CC-024,RG-05,TXN-537805,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 03,409000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-02-06,2025-02-15,Resolved,172,No
EXC-000163,2024-09-20,FY2024/2025,DIR-12,CC-027,RG-03,TXN-899642,Approval-Control Gap,Approval-Control Gap identified in Infrastructure Project Unit 06,1018000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2024-12-03,,Open,283,No
EXC-000164,2025-04-12,FY2024/2025,DIR-13,CC-017,RG-04,TXN-366778,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Eastern Region,864000,Critical,Cost Centre Manager,Obtain missing documents and repost transaction,2025-07-11,,Escalated,79,No
EXC-000165,2024-09-01,FY2024/2025,DIR-03,CC-003,RG-01,TXN-113812,Delayed Banking,"Delayed Banking identified in Strategy, Planning and Performance Directorate - HQ",961000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-09-22,2024-10-19,Resolved,302,No
EXC-000166,2025-04-13,FY2024/2025,DIR-10,CC-010,RG-01,TXN-267422,Expenditure Above Budget,"Expenditure Above Budget identified in Research, Monitoring and Evaluation Directorate - HQ",85000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-06-04,2025-05-26,Resolved,78,No
EXC-000167,2024-08-15,FY2024/2025,DIR-09,CC-009,RG-01,TXN-977624,Approval-Control Gap,Approval-Control Gap identified in Corporate Communications and Customer Experience Directorate - HQ,217000,High,Procurement Officer,Obtain missing documents and repost transaction,2024-09-01,,In Progress,319,No
EXC-000168,2025-01-02,FY2024/2025,DIR-13,CC-014,RG-01,TXN-335267,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - Nairobi Region,71000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-02-08,2025-02-05,Resolved,179,No
EXC-000169,2024-11-19,FY2024/2025,DIR-13,CC-015,RG-02,TXN-357789,Approval-Control Gap,Approval-Control Gap identified in Regional Office - Central Region,866000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-12-03,2024-11-28,Resolved,223,Yes
EXC-000170,2025-05-30,FY2024/2025,DIR-05,CC-005,RG-01,TXN-948342,Approval-Control Gap,Approval-Control Gap identified in Procurement and Supply Chain Directorate - HQ,1356000,Critical,Chief Accountant,Obtain missing documents and repost transaction,2025-08-17,,Open,31,No
EXC-000171,2025-03-08,FY2024/2025,DIR-02,CC-002,RG-01,TXN-218997,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Finance and Accounts Directorate - HQ,1023000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2025-05-04,,In Progress,114,No
EXC-000172,2024-12-24,FY2024/2025,DIR-06,CC-006,RG-01,TXN-359562,Procurement Non-Compliance,Procurement Non-Compliance identified in Information and Communication Technology Directorate - HQ,1403000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2025-03-23,,Escalated,188,No
EXC-000173,2024-12-17,FY2024/2025,DIR-09,CC-009,RG-01,TXN-393174,Expenditure Above Budget,Expenditure Above Budget identified in Corporate Communications and Customer Experience Directorate - HQ,1134000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-02-13,,Deferred,195,No
EXC-000174,2025-01-26,FY2024/2025,DIR-12,CC-025,RG-04,TXN-394509,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Infrastructure Project Unit 04,211000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-03-08,2025-04-05,Resolved,155,No
EXC-000175,2025-03-13,FY2024/2025,DIR-12,CC-025,RG-04,TXN-183032,Missing Supporting Documents,Missing Supporting Documents identified in Infrastructure Project Unit 04,1043000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-03-30,2025-04-08,Resolved,109,No
EXC-000176,2025-03-23,FY2024/2025,DIR-11,CC-031,RG-01,TXN-909918,Duplicate Payment Risk,Duplicate Payment Risk identified in Technical Service Unit 03,1178000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2025-04-28,,Open,99,No
EXC-000177,2025-06-18,FY2024/2025,DIR-13,CC-015,RG-02,TXN-672524,Delayed Banking,Delayed Banking identified in Regional Office - Central Region,1366000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2025-09-06,,In Progress,12,No
EXC-000178,2024-07-11,FY2024/2025,DIR-13,CC-020,RG-07,TXN-558190,Missing Supporting Documents,Missing Supporting Documents identified in Regional Office - Rift Valley Region,1158000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-08-07,,Open,354,Yes
EXC-000179,2024-08-24,FY2024/2025,DIR-04,CC-004,RG-01,TXN-939100,Procurement Non-Compliance,Procurement Non-Compliance identified in Human Resource and Administration Directorate - HQ,469000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-09-12,,Open,310,No
EXC-000180,2025-03-22,FY2024/2025,DIR-02,CC-002,RG-01,TXN-960110,Unreconciled Transaction,Unreconciled Transaction identified in Finance and Accounts Directorate - HQ,910000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2025-04-24,2025-04-22,Resolved,100,No
EXC-000181,2025-08-25,FY2025/2026,DIR-06,CC-006,RG-01,TXN-944711,Procurement Non-Compliance,Procurement Non-Compliance identified in Information and Communication Technology Directorate - HQ,921000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-11-17,,Deferred,279,No
EXC-000182,2025-11-12,FY2025/2026,DIR-05,CC-005,RG-01,TXN-389391,Duplicate Payment Risk,Duplicate Payment Risk identified in Procurement and Supply Chain Directorate - HQ,1444000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2026-01-21,2026-01-13,Resolved,200,Yes
EXC-000183,2026-03-17,FY2025/2026,DIR-13,CC-014,RG-01,TXN-369015,Procurement Non-Compliance,Procurement Non-Compliance identified in Regional Office - Nairobi Region,1393000,High,Procurement Officer,Obtain missing documents and repost transaction,2026-05-04,,Escalated,75,No
EXC-000184,2026-02-09,FY2025/2026,DIR-12,CC-027,RG-03,TXN-430041,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Infrastructure Project Unit 06,1173000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2026-03-31,2026-04-13,Resolved,111,No
EXC-000185,2025-10-16,FY2025/2026,DIR-11,CC-030,RG-07,TXN-486022,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 02,662000,High,Procurement Officer,Obtain missing documents and repost transaction,2026-01-10,,In Progress,227,No
EXC-000186,2025-07-20,FY2025/2026,DIR-12,CC-023,RG-01,TXN-764440,Duplicate Payment Risk,Duplicate Payment Risk identified in Infrastructure Project Unit 02,1202000,Low,Procurement Officer,Obtain missing documents and repost transaction,2025-08-04,,Open,315,No
EXC-000187,2025-11-05,FY2025/2026,DIR-02,CC-002,RG-01,TXN-342926,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Finance and Accounts Directorate - HQ,854000,Low,Chief Accountant,Obtain missing documents and repost transaction,2025-12-26,,Open,207,No
EXC-000188,2026-01-12,FY2025/2026,DIR-11,CC-030,RG-07,TXN-765949,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 02,64000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2026-02-17,,In Progress,139,No
EXC-000189,2025-10-28,FY2025/2026,DIR-13,CC-019,RG-06,TXN-334565,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - Nyanza Region,1399000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2026-01-05,,In Progress,215,No
EXC-000190,2025-11-07,FY2025/2026,DIR-13,CC-013,RG-01,TXN-278956,Expenditure Above Budget,Expenditure Above Budget identified in Regional Operations Directorate - HQ,1262000,High,Procurement Officer,Obtain missing documents and repost transaction,2025-12-26,,Deferred,205,No
EXC-000191,2026-05-08,FY2025/2026,DIR-12,CC-026,RG-04,TXN-349517,Unreconciled Transaction,Unreconciled Transaction identified in Infrastructure Project Unit 05,1092000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2026-06-22,,In Progress,23,No
EXC-000192,2026-01-14,FY2025/2026,DIR-12,CC-023,RG-01,TXN-643127,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 02,1043000,Low,Procurement Officer,Obtain missing documents and repost transaction,2026-02-09,,In Progress,137,No
EXC-000193,2025-12-22,FY2025/2026,DIR-12,CC-027,RG-03,TXN-250702,Expenditure Above Budget,Expenditure Above Budget identified in Infrastructure Project Unit 06,1161000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2026-01-21,,In Progress,160,No
EXC-000194,2026-02-01,FY2025/2026,DIR-12,CC-022,RG-02,TXN-311541,Procurement Non-Compliance,Procurement Non-Compliance identified in Infrastructure Project Unit 01,67000,High,Cost Centre Manager,Obtain missing documents and repost transaction,2026-04-23,,Open,119,No
EXC-000195,2026-02-03,FY2025/2026,DIR-13,CC-017,RG-04,TXN-184086,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Eastern Region,1076000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2026-03-22,2026-04-21,Resolved,117,No
EXC-000196,2025-12-08,FY2025/2026,DIR-11,CC-011,RG-01,TXN-114033,Approval-Control Gap,Approval-Control Gap identified in Technical Operations Directorate - HQ,1156000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2026-01-11,2026-01-19,Resolved,174,Yes
EXC-000197,2025-09-18,FY2025/2026,DIR-13,CC-013,RG-01,TXN-424189,Unsupported Reallocation,Unsupported Reallocation identified in Regional Operations Directorate - HQ,163000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2025-11-15,2025-12-04,Resolved,255,No
EXC-000198,2025-07-27,FY2025/2026,DIR-01,CC-001,RG-01,TXN-127025,Expenditure Above Budget,Expenditure Above Budget identified in Office of the Chief Executive Officer - HQ,1462000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-09-26,2025-10-25,Resolved,308,No
EXC-000199,2026-04-22,FY2025/2026,DIR-13,CC-020,RG-07,TXN-687894,Unsupported Reallocation,Unsupported Reallocation identified in Regional Office - Rift Valley Region,740000,High,Procurement Officer,Obtain missing documents and repost transaction,2026-05-24,2026-05-14,Resolved,39,No
EXC-000200,2026-04-20,FY2025/2026,DIR-11,CC-032,RG-01,TXN-854044,Procurement Non-Compliance,Procurement Non-Compliance identified in Technical Service Unit 04,495000,High,Procurement Officer,Obtain missing documents and repost transaction,2026-07-11,,In Progress,41,No
EXC-000201,2026-04-08,FY2025/2026,DIR-06,CC-006,RG-01,TXN-149792,Incorrect Vote Code,Incorrect Vote Code identified in Information and Communication Technology Directorate - HQ,1191000,Critical,Procurement Officer,Obtain missing documents and repost transaction,2026-05-15,2026-05-30,Resolved,53,No
EXC-000202,2025-07-04,FY2025/2026,DIR-13,CC-014,RG-01,TXN-232301,Approval-Control Gap,Approval-Control Gap identified in Regional Office - Nairobi Region,1436000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2025-10-02,2025-10-08,Resolved,331,Yes
EXC-000203,2025-07-24,FY2025/2026,DIR-13,CC-018,RG-05,TXN-718311,Unreconciled Transaction,Unreconciled Transaction identified in Regional Office - North Eastern Region,79000,Medium,Procurement Officer,Obtain missing documents and repost transaction,2025-08-26,,In Progress,311,Yes
EXC-000204,2025-09-20,FY2025/2026,DIR-12,CC-023,RG-01,TXN-265510,Unsupported Reallocation,Unsupported Reallocation identified in Infrastructure Project Unit 02,789000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2025-10-10,,In Progress,253,No
EXC-000205,2025-11-16,FY2025/2026,DIR-13,CC-015,RG-02,TXN-427558,Expenditure Above Budget,Expenditure Above Budget identified in Regional Office - Central Region,1178000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2026-02-10,,In Progress,196,No
