ReallocationReference,RequestDate,ApprovalDate,FinancialYear,RequestingCostCentre,RequestingDirectorate,SourceCostCentre,SourceActivity,SourceVoteCode,DestinationCostCentre,DestinationActivity,DestinationVoteCode,ReallocationAmount,Reason,RequestedByRole,ReviewedByRole,ApprovedByRole,Status,ProcessingDate,SupportingDocument,DaysToApproval,DaysToProcess
RLC-FY2024/20-0098,2024-10-06,2024-11-09,FY2024/2025,CC-013,DIR-13,CC-011,ACT-026,V-2530,CC-013,ACT-029,V-2340,4746000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-11-21,RLC-378297,34,12.0
RLC-FY2024/20-0099,2024-08-24,2024-09-03,FY2024/2025,CC-027,DIR-12,CC-007,ACT-017,V-2510,CC-027,ACT-027,V-3140,949000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-09-18,RLC-743644,10,15.0
RLC-FY2024/20-0100,2025-04-21,2025-05-11,FY2024/2025,CC-008,DIR-08,CC-001,ACT-001,V-2410,CC-008,ACT-020,V-3120,2563000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-19,RLC-517206,20,8.0
RLC-FY2024/20-0101,2025-04-03,2025-04-08,FY2024/2025,CC-012,DIR-12,CC-008,ACT-019,V-5120,CC-012,ACT-027,V-2450,2496000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-04-17,RLC-579404,5,9.0
RLC-FY2024/20-0102,2025-01-11,2025-02-20,FY2024/2025,CC-032,DIR-11,CC-004,ACT-037,V-2110,CC-032,ACT-026,V-2110,3436000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-02-22,RLC-296243,40,2.0
RLC-FY2024/20-0103,2024-12-23,2025-01-18,FY2024/2025,CC-004,DIR-04,CC-019,ACT-030,V-2530,CC-004,ACT-009,V-4120,4801000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-01-21,RLC-539450,26,3.0
RLC-FY2024/20-0104,2025-04-19,2025-04-30,FY2024/2025,CC-005,DIR-05,CC-024,ACT-028,V-2430,CC-005,ACT-013,V-2530,2363000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-10,RLC-855829,11,10.0
RLC-FY2024/20-0105,2024-09-15,2024-10-18,FY2024/2025,CC-030,DIR-11,CC-009,ACT-021,V-2420,CC-030,ACT-026,V-2360,900000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-10-31,RLC-623866,33,13.0
RLC-FY2024/20-0106,2025-04-17,2025-04-23,FY2024/2025,CC-015,DIR-13,CC-005,ACT-013,V-3110,CC-015,ACT-030,V-2520,2898000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-04-30,RLC-162952,6,7.0
RLC-FY2024/20-0107,2024-11-11,2024-12-07,FY2024/2025,CC-004,DIR-04,CC-008,ACT-020,V-2230,CC-004,ACT-037,V-2460,3774000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-12-13,RLC-460857,26,6.0
RLC-FY2024/20-0108,2025-04-02,2025-04-16,FY2024/2025,CC-022,DIR-12,CC-001,ACT-039,V-3140,CC-022,ACT-027,V-2360,2969000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-04-29,RLC-805893,14,13.0
RLC-FY2024/20-0109,2024-11-24,,FY2024/2025,CC-028,DIR-12,CC-017,ACT-030,V-2460,CC-028,ACT-040,V-2220,2029000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-771697,32,
RLC-FY2024/20-0110,2024-12-23,2025-01-09,FY2024/2025,CC-022,DIR-12,CC-027,ACT-028,V-2430,CC-022,ACT-028,V-2212,580000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-01-15,RLC-844943,17,6.0
RLC-FY2024/20-0111,2025-03-24,2025-04-24,FY2024/2025,CC-027,DIR-12,CC-009,ACT-022,V-2460,CC-027,ACT-028,V-2410,3790000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-01,RLC-231113,31,7.0
RLC-FY2024/20-0112,2024-08-22,,FY2024/2025,CC-002,DIR-02,CC-025,ACT-027,V-2220,CC-002,ACT-005,V-2380,1001000,Performance contract revision,Cost Centre Manager,Head of Budget,,Rejected,,RLC-675074,9,
RLC-FY2024/20-0113,2024-09-18,,FY2024/2025,CC-026,DIR-12,CC-002,ACT-003,V-5120,CC-026,ACT-028,V-2220,699000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,,Rejected,,RLC-424398,8,
RLC-FY2024/20-0114,2024-09-26,2024-09-30,FY2024/2025,CC-019,DIR-13,CC-008,ACT-019,V-2460,CC-019,ACT-030,V-2250,830000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-10-01,RLC-599284,4,1.0
RLC-FY2024/20-0115,2025-02-19,2025-04-03,FY2024/2025,CC-014,DIR-13,CC-016,ACT-030,V-2250,CC-014,ACT-030,V-5130,1050000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-04-15,RLC-648887,43,12.0
RLC-FY2024/20-0116,2024-08-15,2024-09-15,FY2024/2025,CC-005,DIR-05,CC-022,ACT-040,V-3140,CC-005,ACT-013,V-4120,2790000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-09-20,RLC-263281,31,5.0
RLC-FY2024/20-0117,2025-02-26,2025-04-04,FY2024/2025,CC-001,DIR-01,CC-011,ACT-025,V-5120,CC-001,ACT-001,V-2250,1851000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-04-05,RLC-892170,37,1.0
RLC-FY2024/20-0118,2024-07-04,2024-08-11,FY2024/2025,CC-025,DIR-12,CC-016,ACT-030,V-2450,CC-025,ACT-027,V-2540,3066000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-08-17,RLC-513927,38,6.0
RLC-FY2024/20-0119,2025-02-02,2025-03-17,FY2024/2025,CC-008,DIR-08,CC-009,ACT-021,V-2420,CC-008,ACT-020,V-2390,1462000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-03-21,RLC-398505,43,4.0
RLC-FY2024/20-0120,2024-10-02,2024-10-13,FY2024/2025,CC-014,DIR-13,CC-022,ACT-040,V-2440,CC-014,ACT-030,V-2360,4297000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-10-18,RLC-747736,11,5.0
RLC-FY2024/20-0121,2024-07-26,2024-09-01,FY2024/2025,CC-031,DIR-11,CC-015,ACT-030,V-2360,CC-031,ACT-026,V-3120,293000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-09-02,RLC-395818,37,1.0
RLC-FY2024/20-0122,2024-07-08,2024-08-11,FY2024/2025,CC-029,DIR-11,CC-009,ACT-021,V-2110,CC-029,ACT-026,V-2390,633000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-08-15,RLC-923892,34,4.0
RLC-FY2024/20-0123,2024-09-13,,FY2024/2025,CC-013,DIR-13,CC-027,ACT-028,V-4110,CC-013,ACT-030,V-2210,1785000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-669578,6,
RLC-FY2024/20-0124,2024-09-01,,FY2024/2025,CC-018,DIR-13,CC-016,ACT-029,V-2520,CC-018,ACT-029,V-2420,4176000,Performance contract revision,Cost Centre Manager,Head of Budget,,Pending,,RLC-359168,18,
RLC-FY2024/20-0125,2024-10-15,2024-11-17,FY2024/2025,CC-012,DIR-12,CC-025,ACT-027,V-4110,CC-012,ACT-027,V-2230,2701000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-11-24,RLC-438756,33,7.0
RLC-FY2024/20-0126,2024-11-30,,FY2024/2025,CC-009,DIR-09,CC-006,ACT-016,V-5120,CC-009,ACT-021,V-2240,1416000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Rejected,,RLC-218414,15,
RLC-FY2024/20-0127,2025-04-26,,FY2024/2025,CC-026,DIR-12,CC-008,ACT-020,V-2110,CC-026,ACT-028,V-2330,4013000,Priority activity underfunded,Cost Centre Manager,Head of Budget,,Pending,,RLC-144033,10,
RLC-FY2024/20-0128,2025-03-13,2025-03-21,FY2024/2025,CC-007,DIR-07,CC-020,ACT-030,V-2410,CC-007,ACT-017,V-2220,1394000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-04-01,RLC-162678,8,11.0
RLC-FY2024/20-0129,2024-10-28,,FY2024/2025,CC-025,DIR-12,CC-012,ACT-040,V-5130,CC-025,ACT-027,V-2230,804000,Work plan revision,Cost Centre Manager,Head of Budget,,Pending,,RLC-944654,23,
RLC-FY2024/20-0130,2024-09-07,2024-09-26,FY2024/2025,CC-015,DIR-13,CC-030,ACT-026,V-2120,CC-015,ACT-029,V-2420,1919000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-10-11,RLC-686179,19,15.0
RLC-FY2024/20-0131,2025-02-25,,FY2024/2025,CC-024,DIR-12,CC-010,ACT-024,V-2340,CC-024,ACT-027,V-5130,1869000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-172222,20,
RLC-FY2024/20-0132,2025-02-18,2025-02-21,FY2024/2025,CC-017,DIR-13,CC-018,ACT-029,V-2540,CC-017,ACT-030,V-2520,2800000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-03-06,RLC-869295,3,13.0
RLC-FY2024/20-0133,2025-04-02,2025-04-29,FY2024/2025,CC-004,DIR-04,CC-007,ACT-017,V-2510,CC-004,ACT-010,V-3120,3661000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-03,RLC-902930,27,4.0
RLC-FY2024/20-0134,2024-08-26,2024-09-04,FY2024/2025,CC-007,DIR-07,CC-019,ACT-029,V-3120,CC-007,ACT-018,V-2440,3276000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-09-13,RLC-975763,9,9.0
RLC-FY2024/20-0135,2024-10-07,2024-10-16,FY2024/2025,CC-032,DIR-11,CC-031,ACT-025,V-2210,CC-032,ACT-025,V-2360,714000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-10-17,RLC-789880,9,1.0
RLC-FY2024/20-0136,2024-08-06,,FY2024/2025,CC-006,DIR-06,CC-017,ACT-030,V-2410,CC-006,ACT-014,V-2390,3109000,Performance contract revision,Cost Centre Manager,Head of Budget,,Rejected,,RLC-972496,3,
RLC-FY2024/20-0137,2024-07-30,2024-09-10,FY2024/2025,CC-021,DIR-13,CC-003,ACT-007,V-2410,CC-021,ACT-029,V-2440,4146000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-09-15,RLC-974991,42,5.0
RLC-FY2024/20-0138,2024-10-27,2024-12-03,FY2024/2025,CC-002,DIR-02,CC-011,ACT-025,V-5120,CC-002,ACT-004,V-2230,686000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-12-10,RLC-697717,37,7.0
RLC-FY2024/20-0139,2025-04-22,2025-05-17,FY2024/2025,CC-022,DIR-12,CC-021,ACT-029,V-2440,CC-022,ACT-040,V-2230,3878000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-28,RLC-209159,25,11.0
RLC-FY2024/20-0140,2025-03-31,,FY2024/2025,CC-017,DIR-13,CC-006,ACT-014,V-5110,CC-017,ACT-030,V-3130,3356000,Work plan revision,Cost Centre Manager,Head of Budget,,Rejected,,RLC-676802,41,
RLC-FY2024/20-0141,2025-04-15,2025-05-22,FY2024/2025,CC-024,DIR-12,CC-011,ACT-026,V-2450,CC-024,ACT-028,V-3120,3120000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-26,RLC-477496,37,4.0
RLC-FY2024/20-0142,2024-11-23,2025-01-03,FY2024/2025,CC-024,DIR-12,CC-032,ACT-026,V-2430,CC-024,ACT-028,V-2110,3686000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-01-04,RLC-106887,41,1.0
RLC-FY2024/20-0143,2024-11-19,2024-12-27,FY2024/2025,CC-030,DIR-11,CC-010,ACT-023,V-3120,CC-030,ACT-025,V-2120,3903000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-01-05,RLC-198867,38,9.0
RLC-FY2024/20-0144,2025-04-25,2025-05-13,FY2024/2025,CC-009,DIR-09,CC-002,ACT-035,V-2310,CC-009,ACT-022,V-2250,1472000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-05-17,RLC-196369,18,4.0
RLC-FY2024/20-0145,2025-03-05,,FY2024/2025,CC-028,DIR-12,CC-019,ACT-030,V-2380,CC-028,ACT-040,V-2212,3673000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-724145,14,
RLC-FY2025/20-0146,2026-02-08,,FY2025/2026,CC-009,DIR-09,CC-002,ACT-035,V-2211,CC-009,ACT-021,V-3130,1870000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Pending,,RLC-883997,29,
RLC-FY2025/20-0147,2025-07-22,2025-08-14,FY2025/2026,CC-018,DIR-13,CC-022,ACT-040,V-2420,CC-018,ACT-029,V-2211,1663000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-08-23,RLC-626806,23,9.0
RLC-FY2025/20-0148,2026-05-01,2026-06-09,FY2025/2026,CC-002,DIR-02,CC-024,ACT-027,V-2211,CC-002,ACT-004,V-2430,4861000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-06-18,RLC-403859,39,9.0
RLC-FY2025/20-0149,2026-04-19,2026-04-25,FY2025/2026,CC-032,DIR-11,CC-026,ACT-028,V-2250,CC-032,ACT-025,V-3130,596000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-05-04,RLC-517885,6,9.0
RLC-FY2025/20-0150,2026-03-07,2026-04-04,FY2025/2026,CC-019,DIR-13,CC-017,ACT-030,V-2250,CC-019,ACT-029,V-4120,2885000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-15,RLC-354085,28,11.0
RLC-FY2025/20-0151,2026-01-28,2026-02-27,FY2025/2026,CC-013,DIR-13,CC-003,ACT-007,V-3120,CC-013,ACT-030,V-2220,740000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-05,RLC-461260,30,6.0
RLC-FY2025/20-0152,2026-02-12,2026-03-26,FY2025/2026,CC-021,DIR-13,CC-020,ACT-029,V-2330,CC-021,ACT-030,V-3140,3158000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-29,RLC-309385,42,3.0
RLC-FY2025/20-0153,2025-11-02,2025-12-14,FY2025/2026,CC-020,DIR-13,CC-023,ACT-028,V-2220,CC-020,ACT-029,V-2240,3750000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-12-29,RLC-114400,42,15.0
RLC-FY2025/20-0154,2025-12-17,2026-01-02,FY2025/2026,CC-011,DIR-11,CC-012,ACT-040,V-3110,CC-011,ACT-025,V-2460,2462000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-14,RLC-672967,16,12.0
RLC-FY2025/20-0155,2026-03-27,2026-04-01,FY2025/2026,CC-009,DIR-09,CC-018,ACT-030,V-2310,CC-009,ACT-022,V-2120,2008000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-06,RLC-310445,5,5.0
RLC-FY2025/20-0156,2025-07-05,2025-07-12,FY2025/2026,CC-003,DIR-03,CC-027,ACT-040,V-2211,CC-003,ACT-007,V-4110,3343000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-07-19,RLC-213132,7,7.0
RLC-FY2025/20-0157,2025-08-20,,FY2025/2026,CC-021,DIR-13,CC-001,ACT-038,V-2390,CC-021,ACT-030,V-2420,2641000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-295472,23,
RLC-FY2025/20-0158,2025-12-04,2025-12-28,FY2025/2026,CC-019,DIR-13,CC-007,ACT-018,V-2210,CC-019,ACT-029,V-2510,4627000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-05,RLC-119264,24,8.0
RLC-FY2025/20-0159,2026-03-14,2026-04-03,FY2025/2026,CC-016,DIR-13,CC-012,ACT-040,V-3140,CC-016,ACT-030,V-3110,1334000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-16,RLC-505977,20,13.0
RLC-FY2025/20-0160,2026-01-18,2026-03-04,FY2025/2026,CC-013,DIR-13,CC-030,ACT-025,V-2390,CC-013,ACT-030,V-2310,1841000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-07,RLC-646012,45,3.0
RLC-FY2025/20-0161,2025-12-07,2026-01-17,FY2025/2026,CC-023,DIR-12,CC-032,ACT-025,V-2510,CC-023,ACT-028,V-2310,2247000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-23,RLC-316800,41,6.0
RLC-FY2025/20-0162,2026-03-26,,FY2025/2026,CC-018,DIR-13,CC-022,ACT-027,V-2250,CC-018,ACT-029,V-3110,3505000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-788108,11,
RLC-FY2025/20-0163,2025-08-30,,FY2025/2026,CC-026,DIR-12,CC-031,ACT-025,V-2212,CC-026,ACT-028,V-5130,4753000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-862398,14,
RLC-FY2025/20-0164,2025-11-18,2025-11-30,FY2025/2026,CC-032,DIR-11,CC-001,ACT-038,V-2440,CC-032,ACT-026,V-3110,2326000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-12-13,RLC-293720,12,13.0
RLC-FY2025/20-0165,2025-07-14,2025-08-08,FY2025/2026,CC-028,DIR-12,CC-001,ACT-038,V-2390,CC-028,ACT-040,V-2390,1308000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-08-10,RLC-240600,25,2.0
RLC-FY2025/20-0166,2025-09-09,2025-09-22,FY2025/2026,CC-020,DIR-13,CC-017,ACT-030,V-2340,CC-020,ACT-030,V-2420,2559000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-26,RLC-901677,13,4.0
RLC-FY2025/20-0167,2025-08-03,,FY2025/2026,CC-017,DIR-13,CC-001,ACT-038,V-2390,CC-017,ACT-030,V-2360,3837000,Performance contract revision,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-747033,14,
RLC-FY2025/20-0168,2025-07-22,,FY2025/2026,CC-006,DIR-06,CC-017,ACT-030,V-2510,CC-006,ACT-015,V-2450,2143000,Work plan revision,Cost Centre Manager,Head of Budget,,Pending,,RLC-513296,41,
RLC-FY2025/20-0169,2025-07-22,2025-08-09,FY2025/2026,CC-007,DIR-07,CC-021,ACT-029,V-2460,CC-007,ACT-017,V-4110,4170000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-08-18,RLC-684791,18,9.0
RLC-FY2025/20-0170,2025-12-03,2025-12-24,FY2025/2026,CC-026,DIR-12,CC-013,ACT-029,V-2540,CC-026,ACT-027,V-2460,2111000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-01,RLC-742917,21,8.0
RLC-FY2025/20-0171,2026-02-17,2026-02-25,FY2025/2026,CC-012,DIR-12,CC-031,ACT-025,V-5120,CC-012,ACT-040,V-2310,2425000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-09,RLC-916558,8,12.0
RLC-FY2025/20-0172,2025-09-30,,FY2025/2026,CC-011,DIR-11,CC-020,ACT-029,V-2440,CC-011,ACT-026,V-3120,2364000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Rejected,,RLC-576769,32,
RLC-FY2025/20-0173,2026-02-16,2026-03-31,FY2025/2026,CC-032,DIR-11,CC-003,ACT-007,V-2330,CC-032,ACT-026,V-2240,638000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-06,RLC-862182,43,6.0
RLC-FY2025/20-0174,2025-09-26,,FY2025/2026,CC-005,DIR-05,CC-027,ACT-040,V-2420,CC-005,ACT-012,V-2420,411000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Rejected,,RLC-269999,24,
RLC-FY2025/20-0175,2026-02-14,2026-03-07,FY2025/2026,CC-022,DIR-12,CC-029,ACT-025,V-2211,CC-022,ACT-027,V-2440,1679000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-18,RLC-312705,21,11.0
RLC-FY2025/20-0176,2026-04-05,,FY2025/2026,CC-005,DIR-05,CC-001,ACT-038,V-4110,CC-005,ACT-011,V-4130,4306000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Rejected,,RLC-327408,3,
RLC-FY2025/20-0177,2025-07-04,2025-07-22,FY2025/2026,CC-014,DIR-13,CC-020,ACT-030,V-2440,CC-014,ACT-030,V-2460,581000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-08-06,RLC-151295,18,15.0
RLC-FY2025/20-0178,2025-07-17,,FY2025/2026,CC-004,DIR-04,CC-007,ACT-017,V-3140,CC-004,ACT-008,V-2210,898000,Donor compliance requirement,Cost Centre Manager,Head of Budget,,Pending,,RLC-447195,45,
RLC-FY2025/20-0179,2025-09-21,2025-10-12,FY2025/2026,CC-013,DIR-13,CC-031,ACT-025,V-2230,CC-013,ACT-029,V-2440,4970000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-10-22,RLC-577456,21,10.0
RLC-FY2025/20-0180,2025-12-13,2026-01-08,FY2025/2026,CC-024,DIR-12,CC-025,ACT-040,V-2210,CC-024,ACT-028,V-2220,3889000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-23,RLC-895284,26,15.0
RLC-FY2025/20-0181,2025-11-18,2025-12-12,FY2025/2026,CC-004,DIR-04,CC-015,ACT-029,V-4120,CC-004,ACT-010,V-2250,786000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-12-21,RLC-829630,24,9.0
RLC-FY2025/20-0182,2025-11-25,,FY2025/2026,CC-030,DIR-11,CC-007,ACT-017,V-5120,CC-030,ACT-025,V-2220,2522000,Donor compliance requirement,Cost Centre Manager,Head of Budget,,Pending,,RLC-650912,30,
RLC-FY2025/20-0183,2026-03-12,2026-04-15,FY2025/2026,CC-032,DIR-11,CC-019,ACT-030,V-4130,CC-032,ACT-025,V-5120,3700000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-04-28,RLC-843007,34,13.0
RLC-FY2025/20-0184,2025-08-30,2025-09-15,FY2025/2026,CC-020,DIR-13,CC-010,ACT-023,V-2240,CC-020,ACT-029,V-2120,2431000,Delayed procurement - savings available,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-09-28,RLC-534153,16,13.0
RLC-FY2025/20-0185,2025-11-22,2025-12-11,FY2025/2026,CC-017,DIR-13,CC-002,ACT-005,V-2380,CC-017,ACT-030,V-2110,3275000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-12-24,RLC-631302,19,13.0
RLC-FY2025/20-0186,2026-04-18,,FY2025/2026,CC-006,DIR-06,CC-019,ACT-030,V-2240,CC-006,ACT-014,V-3130,1839000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Pending,,RLC-446569,42,
RLC-FY2025/20-0187,2026-03-04,2026-03-16,FY2025/2026,CC-017,DIR-13,CC-028,ACT-028,V-4120,CC-017,ACT-030,V-2210,3299000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-03-27,RLC-584935,12,11.0
RLC-FY2025/20-0188,2025-12-09,2026-01-16,FY2025/2026,CC-029,DIR-11,CC-026,ACT-028,V-5120,CC-029,ACT-025,V-3110,2912000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-25,RLC-938373,38,9.0
RLC-FY2025/20-0189,2025-12-21,2026-01-17,FY2025/2026,CC-009,DIR-09,CC-031,ACT-026,V-2310,CC-009,ACT-021,V-2530,4236000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-01-28,RLC-698717,27,11.0
RLC-FY2025/20-0190,2025-12-09,2025-12-14,FY2025/2026,CC-001,DIR-01,CC-021,ACT-030,V-2240,CC-001,ACT-002,V-3110,3585000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-12-19,RLC-349185,5,5.0
RLC-FY2025/20-0191,2025-08-27,2025-09-22,FY2025/2026,CC-009,DIR-09,CC-013,ACT-030,V-2380,CC-009,ACT-022,V-5120,1651000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-10-05,RLC-197102,26,13.0
RLC-FY2025/20-0192,2026-03-05,,FY2025/2026,CC-022,DIR-12,CC-015,ACT-029,V-5110,CC-022,ACT-028,V-2310,1113000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-906859,36,
RLC-FY2025/20-0193,2026-02-21,,FY2025/2026,CC-025,DIR-12,CC-029,ACT-025,V-2250,CC-025,ACT-040,V-2380,3678000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-104309,27,
RLC-FY2025/20-0194,2025-08-22,2025-09-27,FY2025/2026,CC-009,DIR-09,CC-011,ACT-025,V-3130,CC-009,ACT-021,V-4110,4468000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2025-10-10,RLC-123572,36,13.0
RLC-FY2025/20-0195,2025-11-19,,FY2025/2026,CC-003,DIR-03,CC-020,ACT-030,V-3120,CC-003,ACT-006,V-2360,1124000,Savings from completed activity,Cost Centre Manager,Head of Budget,,Pending,,RLC-385898,37,
RLC-FY2025/20-0196,2026-04-13,2026-05-18,FY2025/2026,CC-030,DIR-11,CC-005,ACT-012,V-2240,CC-030,ACT-026,V-2110,4800000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2026-05-20,RLC-676051,35,2.0
